idNumber,name,phone,sex,username
100000500,admin,18716240632,1,admin
100000000,cruqnuQ,18716240631,1,cruqnuQ
100000001,uGGjIpS,15813500860,1,uGGjIpS
100000002,HmallBl,18621747781,1,HmallBl
100000003,UolgsMf,18518204121,1,UolgsMf
100000004,VuKmgeq,13704680306,1,VuKmgeq
100000005,fdhcwgH,13330188385,1,fdhcwgH
100000006,nxJttrL,18686698864,1,nxJttrL
100000007,FZkVsGz,18147351548,1,FZkVsGz
100000008,PdMkPoF,13652496927,1,PdMkPoF
100000009,dkYyuVO,13305758166,1,dkYyuVO
100000010,JXOMrQD,18502133115,1,JXOMrQD
100000011,jPRGitH,15043107752,1,jPRGitH
100000012,IHGLBrB,15834819746,1,IHGLBrB
100000013,XWCnbnd,18949373198,1,XWCnbnd
100000014,EbMhmex,13804303119,1,EbMhmex
100000015,NXGfISr,18603013193,1,NXGfISr
100000016,fkDWijs,13917869573,1,fkDWijs
100000017,CLwFpMy,18645563490,1,CLwFpMy
100000018,ogryGBR,18052285484,1,ogryGBR
100000019,biJKDzz,15085749813,1,biJKDzz
100000020,AMagDIq,18659058818,1,AMagDIq
100000021,ZSnvuTk,13855378734,1,ZSnvuTk
100000022,PRZjokT,13525820551,1,PRZjokT
100000023,eQEqeOA,18895730564,1,eQEqeOA
100000024,jRIyXWS,18082533919,1,jRIyXWS
100000025,pgCnfMW,13702807785,1,pgCnfMW
100000026,lBbSLNC,13348726048,1,lBbSLNC
100000027,cGUDaIi,18561675792,1,cGUDaIi
100000028,nXFHWIx,13857406440,1,nXFHWIx
100000029,ADEEvbs,13683611360,1,ADEEvbs
100000030,YcyRsiN,13780547734,1,YcyRsiN
100000031,mSqSzXq,18622473089,1,mSqSzXq
100000032,vhwttlZ,13804647208,1,vhwttlZ
100000033,HNnfRkE,13957879230,1,HNnfRkE
100000034,uHFNvWN,18848392228,1,uHFNvWN
100000035,hZBPtHL,13961240371,1,hZBPtHL
100000036,amLICHH,18701805952,1,amLICHH
100000037,GDSYSSy,13818458698,1,GDSYSSy
100000038,wgvAZcQ,18623998435,1,wgvAZcQ
100000039,qMfLQgO,18750600310,1,qMfLQgO
100000040,fuWRBbu,15945930815,1,fuWRBbu
100000041,VCBOIuJ,13708915304,1,VCBOIuJ
100000042,LyLOqqA,18866655962,1,LyLOqqA
100000043,CkGWNdE,13605314674,1,CkGWNdE
100000044,cLcFvxY,18703047608,1,cLcFvxY
100000045,QAwglSK,18721408518,1,QAwglSK
100000046,zwmpaGC,15743571910,1,zwmpaGC
100000047,qwTWXxZ,15635244771,1,qwTWXxZ
100000048,VOgYbGG,13948667152,1,VOgYbGG
100000049,vJHsIXO,15693709687,1,vJHsIXO
100000050,QwiPsmK,15198505148,1,QwiPsmK
